#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-04-28T15:02:45 [V7.296]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.296	
#INFO	-ref=VIZ644bdffe11d3b8	
#INFO	-out.max=99999	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=99999
#-nav=cat:VIII/99&tab:{VIII/99/radio}&key:source=VIII/99/radio&HTTPPRM:&
#-source=VIII/99/radio
#-order=I
#-out=Seq
#-out=Freq
#-out=l_Smax
#-out=Smax
#-out=l_Smin
#-out=Smin
#-out=r_Smax
#-out=Notes
#

#RESOURCE=yCat_8099
#Name: VIII/99
#Title: Catalogue of Radio Stars (Wendker, 2001)
#Table	VIII_99_radio:
#Name: VIII/99/radio
#Title: Radio data
#Column	Seq	(I4)	[1/3699] Star number, as in file "stars"	[ucd=meta.record]
#Column	Freq	(I6)	Frequency of radio measurement	[ucd=em.freq]
#Column	l_Smax	(A1)	Limit flag on Smax	[ucd=meta.code.error]
#Column	Smax	(F10.3)	Maximum Flux at Freq	[ucd=phot.flux.density;em.radio]
#Column	l_Smin	(A1)	Limit flag on Smin	[ucd=meta.code.error]
#Column	Smin	(F10.3)	Minimum Flux at Freq	[ucd=phot.flux.density;em.radio]
#Column	r_Smax	(I4)	? Reference of Fluxes (details in "refs.dat") [NULL integer written as an empty string]	[ucd=meta.ref;pos.frame]
#Column	Notes	(a56)	Remarks and notes about the radio flux	[ucd=meta.note]
Seq	Freq	l_Smax	Smax	l_Smin	Smin	r_Smax	Notes
  21	275000	 	    84.000	 	     0.000	1035	  04-12/93;
  21	275000	 	    41.000	 	     0.000	1041	  05/94;
  21	275000	 	    70.000	 	     0.000	1274	  ?/92;
  21	375000	 	   229.000	 	     0.000	1035	  04-12/93;
  21	375000	 	   118.000	 	     0.000	1041	  05/94;
  22	  5000	<	     1.700	<	     4.000	 669	  2 obs. 08-09/86-07/87;
  23	  2695	<	     7.000	 	     0.000	 212	  /75;
  23	  8085	<	     7.000	 	     0.000	 212	  /75;
  24	230000	 	     7.000	 	     0.000	1058	  12/93;
  25	230000	<	    11.000	 	     0.000	1058	  12/93;
  26	  4885	<	     0.138	 	     0.000	 903	  04-07/82;
  27	  4885	<	     0.150	 	     0.000	 752	  05/89;
  27	  8400	<	     0.100	 	     0.000	 752	  05/89;
  28	230000	 	    10.000	 	     0.000	1058	  12/93;
  29	  8400	<	     5.700	 	     0.000	 617	  10 obs. 81-84;
  30	  2290	<	    47.000	 	     0.000	 549	  2 obs. 06-07/82;
  30	  4885	<	     0.700	 	     0.000	 470	  12/83;
  30	  4885	<	     1.000	 	     0.000	 515	  06/82;
  30	  4885	<	     0.250	 	     0.000	 738	  02/86;
  30	  5000	 	    16.000	 	     9.000	 220	  2 obs. 10-11/76;
  30	  5000	 	    12.500	 	     0.000	 442	  3 obs. 03/82-08/83;
  30	  8400	 	    13.700	 	     8.500	 617	  21 obs. 81-84; 2nd value: (617) only lists the median;
  30	  8420	<	    17.000	 	     0.000	 549	  3 obs. 06/82-12/83;
  30	250000	<	     7.000	 	     0.000	 950	  12/87-01/88;
  31	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
  32	  4885	<	     0.500	 	     0.000	1188	  01/92;
  33	230000	<	    12.000	 	     0.000	1058	  12/93;
  34	230000	 	     8.000	 	     0.000	1058	  12/93;
  35	  2695	<	     9.000	 	     0.000	 212	  /75;
  35	  4885	<	     1.800	 	     0.000	 463	  03/83;
  35	  8085	<	     9.000	 	     0.000	 212	  /75;
  35	 10650	<	   150.000	 	     0.000	 463	  02/83;
  35	 14965	<	     3.300	 	     0.000	 463	  03/83;
  36	  1465	<	     0.230	 	     0.000	 737	  07/86; same data in (579);
  36	  4860	<	     0.150	 	     0.000	 656	  06/86; both comp.;
  36	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
  36	  4885	<	     0.220	 	     0.000	 737	  07/86; same data in (579);
  36	  5000	<	     5.000	 	     0.000	 220	  10-11/76;
  37	  8440	 	     0.250	 	     0.000	1154	  09/93;
  38	375000	<	    51.000	 	     0.000	1019	  11/90-04/91;
  39	  4885	 	     1.000	 	     0.000	1264	  10/92;
  39	 10690	<	     5.000	 	     0.000	 155	  06/73;
  40	  2695	<	    50.000	 	     0.000	  51	  /71;
  40	  8085	<	    50.000	 	     0.000	  51	  /71;
  41	  4860	<	     0.400	 	     0.000	 622	  11/84-02/86;
  41	  4885	<	     0.150	 	     0.000	 738	  11/84;
  41	  8400	<	     6.000	 	     0.000	 617	  13 obs. 81-84;
  42	230000	<	    15.000	 	     0.000	 821	  03/90;
  43	  4800	<	     1.500	 	     0.000	1115	  04-10/89;
  43	  8400	 	     5.100	<	     5.100	1115	  10 obs. 02/89-05/90;
  44	  8400	<	     5.400	 	     0.000	 714	  11 obs. 02/87-07/88;
  45	   430	<	    30.000	 	     0.000	 186	  07-08/74; monitored on 12 days;
  46	  5000	<	     5.000	 	     0.000	 220	  10-11/76;
  47	  2380	<	     6.000	 	     0.000	 504	  2 obs. 02-04/80;
  48	230000	<	     6.000	 	     0.000	1268	  03/97;
  49	  1465	<	     0.480	 	     0.000	 737	  07/86; both comp.;
  49	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87; both comp.;
  49	  4885	<	     0.390	 	     0.000	 737	  07/86; both comp.;
  50	  4860	<	     0.330	 	     0.000	 692	  /?;
  50	  8450	 	     0.400	 	     0.000	1278	  10/94;
  51	  4885	<	     0.600	 	     0.000	 470	  12/83;
  51	  4885	<	     0.150	 	     0.000	 738	  06/85;
  52	  4860	<	     0.900	 	     0.000	1108	  08/88;
  52	  4885	<	     0.300	 	     0.000	 987	  /89?;
  52	  8440	 	     0.490	 	     0.000	 988	  04/92;
  52	150000	 	   610.000	 	     0.000	 847	  04/91;
  52	230000	 	  1490.000	 	     0.000	 847	  04/91;
  52	230000	 	   793.000	 	   581.000	1058	  12/93; SW and NE comp.;
  52	236000	 	  2510.000	 	     0.000	1297	  02/95-03/97; core of extended emission;
  52	275000	 	  2010.000	 	     0.000	 847	  04/91;
  52	275000	 	  2295.000	 	     0.000	1299	  90-94;
  52	375000	 	  6160.000	 	     0.000	1299	  90-94;
  53	  4860	<	     0.170	 	     0.000	 962	  08/89;
  53	  4885	<	     0.200	 	     0.000	 788	  09/86;
  53	375000	<	    66.000	 	     0.000	 966	  09/90;
  54	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
  55	 10600	<	    39.000	 	     0.000	 351	  72-79;
  56	230000	<	    14.000	 	     0.000	1058	  12/93;
  57	   430	<	   120.000	 	     0.000	 217	  11-12/75;
  57	  4860	<	     0.150	 	     0.000	 656	  06/86;
  57	  4885	 	     0.690	 	     0.530	 636	  3 obs. 02/86;
  57	  4885	 	     4.670	 	     0.340	 738	  2 obs. 06-11/84;
  58	  2695	<	    15.000	 	     0.000	 156	  09/73;
  58	  2700	<	    15.000	 	     0.000	 351	  04/74-06/78;
  58	  8085	<	    15.000	 	     0.000	 156	  09/73;
  58	  8100	<	    15.000	 	     0.000	 351	  04/74-06/78;
  58	  8440	<	     0.100	 	     0.000	 767	  03/89; same data in (952);
  58	 10600	<	    25.000	 	     0.000	 203	  02/73;
  58	 10690	<	     5.000	 	     0.000	 155	  02/73;
  58	 15000	<	     6.000	 	     0.000	 368	  10/79;
  58	225000	 	    60.000	 	     0.000	 905	  06/90;
  59	  4885	 	     0.470	 	     0.000	 358	  07/80; wind;
  59	250000	 	    19.000	 	     0.000	 950	  12/87-01/88;
  60	  2695	<	    10.000	 	     0.000	 212	  /75;
  60	  5000	<	     3.000	 	     0.000	 220	  10-11/76;
  60	  8085	<	    10.000	 	     0.000	 212	  /75;
  61	  4860	<	     0.190	 	     0.000	 962	  08/89;
  61	  4885	<	     0.500	 	     0.000	 337	  08/80;
  61	  4885	<	     0.180	 	     0.000	 524	  01/83-06/85;
  61	  8400	<	     4.800	 	     0.000	 714	  11 obs. 02/87-07/88;
  61	  8440	<	     0.130	 	     0.000	 962	  12/89;
  61	 14940	<	     0.420	 	     0.000	 962	  12/89;
  62	  4885	 	     0.390	 	     0.000	1046	  10/92;
  62	  8440	 	     0.400	 	     0.290	1046	  2 obs. 02-10/92;
  63	230000	<	    14.000	 	     0.000	1058	  12/93;
  64	  1400	<	     0.600	 	     0.000	1161	  02/94;
  65	  4885	 	     0.508	 	     0.000	 698	  10/87;
  65	  4885	<	     0.240	<	     0.290	 745	  3 obs. 02/85-03/86;
  65	  4995	<	     1.020	 	     0.000	 798	  10/88;
  65	  8440	 	     0.540	 	     0.000	 956	  02/91;
  65	 14965	<	     0.560	<	     0.600	 745	  2 obs. 09/85-03/86;
  66	 14965	<	     0.780	 	     0.000	 747	  02/88;
  67	  1465	<	     1.050	 	     0.000	 669	  06/87;
  67	  4861	<	     0.300	 	     0.000	 612	  02/86;
  67	  4885	<	     0.570	 	     0.000	 669	  06/87;
  67	 14965	<	     1.400	 	     0.000	 669	  06/87;
  68	230000	<	    14.000	 	     0.000	1058	  12/93;
  69	  4885	<	     0.250	 	     0.000	 699	  11/84; same data in (823);
  70	  4885	<	     0.600	 	     0.000	 436	  08/82;
  71	  2380	<	     4.000	 	     0.000	 504	  6 obs. 01/80-09/81;
  71	  4860	<	     0.400	 	     0.000	 622	  11/84-02/86;
  71	  4885	<	     0.500	 	     0.000	 337	  08/80;
  71	  4885	<	     0.440	 	     0.000	 487	  08/83-03/84;
  71	  4885	<	     0.260	 	     0.000	 738	  07/83; same data in (503);
  72	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
  73	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87; both comp.;
  74	  5000	<	     3.000	 	     0.000	 220	  10-11/76;
  75	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
  76	 10500	<	    15.000	 	     0.000	 210	  08/75;
  77	  5000	 	    54.400	 	     0.000	1233	  09/95;
  78	  1376	 	     8.200	 	     1.000	1333	  2 obs. 07/94-06/96; mean of monitoring;flare activity;
  78	  1470	 	     5.900	 	     0.000	1333	  10/92; mean of monitoring; flare activity;
  78	  2382	 	    12.000	 	     1.400	1333	  5 obs. 04/94-06/96; mean of monitoring;flare activity;
  78	  4800	 	     3.100	 	     0.800	1155	  08/94; monitored 72h; same data in (1210);
  78	  4800	 	    21.600	 	     1.200	1333	  5 obs. 04/94-06/96; mean of monitoring;flare activity;
  78	  5000	<	    10.000	 	     0.000	 379	  07/81;
  78	  8400	 	     7.100	 	     4.600	 617	  23 obs. 81-84; 2nd value: (617) only lists the median;
  78	  8640	 	     2.600	 	     0.700	1155	  08/94; monitored 72h; same data in (1210);
  78	  8640	 	    24.200	 	     1.000	1333	  4 obs. 04/94-06/96; mean of monitoring;flare activity;
  79	  2380	<	     6.000	 	     0.000	 504	  2 obs. 02-04/80;
  80	 10600	<	    25.000	 	     0.000	 203	  02/73;
  80	 22500	<	    85.000	 	     0.000	 563	  02/78;
  81	  8400	<	     4.800	 	     0.000	 714	  11 obs. 02/87-07/88;
  82	  4885	<	     0.160	 	     0.000	 582	  06/84;
  83	  2695	<	    50.000	 	     0.000	  51	  /71;
  83	  4860	<	     0.520	 	     0.000	 692	  /?;
  83	  4885	<	     0.130	 	     0.000	 604	  09/86;
  83	  4885	 	     0.250	 	     0.000	 759	  09/85;
  83	  4885	<	     0.150	 	     0.000	 829	  02/90;
  83	  5000	<	     1.400	<	     4.000	 669	  2 obs. 08-09/86-07/87;
  83	  8085	<	    50.000	 	     0.000	  51	  /71;
  83	  8400	<	     0.150	 	     0.000	 829	  02/90;
  83	 10600	<	    25.000	 	     0.000	 203	  02/73;
  83	 10600	<	    27.000	 	     0.000	 351	  72-79;
  83	 10680	<	    20.000	 	     0.000	 191	  /75;
  83	 10690	<	     5.000	 	     0.000	 155	  02/73;
  83	 14965	<	     0.480	 	     0.000	 747	  02/88;
  83	 14965	 	     0.460	 	     0.000	 754	  07/88;
  83	 14965	<	     0.500	 	     0.000	 829	  02/90;
  83	 22500	<	    60.000	 	     0.000	 563	  02/78;
  83	 90000	<	   100.000	 	     0.000	 183	  12/75;
  83	250000	 	    49.300	 	    48.000	1400	  2 obs. 03/91-12/92;
  83	270000	<	    63.000	 	     0.000	 689	  08/88;
  83	270000	 	    28.000	 	     0.000	 802	  08/89;
  83	375000	 	    50.000	 	     0.000	 802	  08/89;
  84	  4885	<	     0.220	 	     0.000	 738	  11/84;
  84	  5000	<	     5.000	 	     0.000	 220	  10-11/76;
  85	  4885	<	     0.270	 	     0.000	 616	  03/84-09/86;
  86	  2380	<	     9.000	 	     0.000	 504	  02/80;
  87	  2695	<	     7.000	 	     0.000	 212	  /75;
  87	  4885	 	     2.800	 	     0.000	1264	  10/92;
  87	  8085	<	     7.000	 	     0.000	 212	  /75;
  87	 10600	<	    25.000	 	     0.000	 203	  10/73-12/74;
  87	 22500	<	    70.000	 	     0.000	 563	  02/78;
  88	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
  89	  8400	<	     5.100	 	     0.000	 714	  11 obs. 02/87-07/88;
  90	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
  91	  1465	 	     5.170	<	     0.480	 737	  2 obs. 07/86-09/86; part of data in (579);
  91	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
  91	  4885	 	     7.280	<	     0.270	 737	  2 obs. 07/86-09/86; part of data in (579);
  92	  4885	<	     0.200	 	     0.000	 706	  10/87;
  92	  5000	<	     2.600	<	     4.600	 669	  2 obs. 08-09/86-07/87;
  92	 10600	<	    25.000	 	     0.000	 203	  02/73;
  93	  4885	<	     0.200	 	     0.000	 516	  08/82;
  93	250000	<	    18.000	 	     0.000	 950	  03/89;
  94	  4885	<	     1.100	 	     0.000	 817	  ?;
  95	 10500	<	    15.000	 	     0.000	 210	  08/75;
  96	  4885	<	     2.000	 	     0.000	 364	  05/78;
  96	  4885	<	     0.450	 	     0.000	 425	  10/81;
  96	  4885	<	     0.180	 	     0.000	 609	  08/85;
  96	  8440	<	     0.124	 	     0.000	1130	  01/91;
  96	 20000	<	     3.700	 	     0.000	 713	  08/84;
  96	 85700	<	   300.000	 	     0.000	 106	  10/70;
  96	230000	 	    79.000	 	     0.000	 821	  08/90;
  97	  8440	<	     0.170	 	     0.000	1039	  06/93-02/94;
  98	  1400	<	     0.600	 	     0.000	1161	  02/94;
  99	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
 100	  4885	<	     0.130	 	     0.000	 760	  09/84-03/85;
 101	  8400	<	     5.700	 	     0.000	 714	  11 obs. 02/87-07/88;
 102	  4800	<	     1.100	 	     0.000	 855	  04/90-05/91;
 102	  8400	 	     2.900	<	     4.000	 714	  15 obs. 02/87-07/88;
 103	   843	<	     2.000	 	     0.000	 629	  86/87;
 103	  5000	 	     8.900	 	     5.500	 617	  12 obs. 81-84; 2nd value: (617) only lists the median;
 103	  8400	 	     8.900	 	     5.500	 705	  22 obs.; update of (617); 2nd value is listed median;
 104	 10600	<	    25.000	 	     0.000	 203	  02/73;
 105	   430	<	   100.000	 	     0.000	 335	  01-03/80;
 105	  4885	<	     0.210	 	     0.000	 524	  01/83-06/85;
 105	  8440	 	     0.180	 	     0.000	 962	  10/89;
 105	 10690	<	     5.000	 	     0.000	 155	  02/73;
 105	 14940	<	     0.560	 	     0.000	 962	  10/89;
 105	 22500	<	    90.000	 	     0.000	 563	  02/78;
 105	250000	 	    25.000	 	     0.000	 950	  12/86-01/87;
 106	   843	<	     1.000	 	     0.000	 576	  10/85;
 106	   843	<	     4.000	 	     0.000	 629	  86/87;
 106	  1465	<	     0.830	 	     0.000	 579	  07/86; same data in (737);
 106	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
 106	  4885	<	     0.390	 	     0.000	 579	  07/86; same data in (737);
 107	  1400	<	     0.700	 	     0.000	1327	  04/95;
 107	  8400	 	    17.300	<	     7.500	 617	  16 obs. 81-84; flare circ.pol.;
 108	  5000	<	     5.000	 	     0.000	 220	  10-11/76;
 109	  8400	<	     0.150	 	     0.000	 800	  02/89;
 110	  8400	<	     3.600	 	     0.000	1115	  9 obs. 02/89-05/90;
 111	  1400	 	     2.550	 	     0.000	1327	  04/95;
 111	  1465	 	    17.700	 	    10.600	 508	  6 obs. 06/82; circ.pol.;
 111	  4885	 	     5.200	 	     1.100	 470	  3 obs. 05-12/83;
 111	  4885	 	    18.200	 	     2.500	 508	  2 obs. 06/82;
 111	  4885	<	     0.500	 	     0.000	 690	  09/85;
 111	  4885	<	     0.200	 	     0.000	 738	  06/85;
 111	  8400	<	     4.500	 	     0.000	 617	  11 obs. 81-84;
 111	  8400	<	     9.600	 	     0.000	 690	  09/85;
 111	 14965	<	     5.200	 	     0.000	 508	  06/82;
 111	 14965	 	     1.330	 	     0.000	 690	  09/85;
 111	250000	<	    10.000	 	     0.000	 950	  12/87-01/88;
 112	  2695	<	    15.000	 	     0.000	 156	  09/73;
 112	  8085	<	    15.000	 	     0.000	 156	  09/73;
 112	 10600	<	    27.000	 	     0.000	 351	  72-79;
 113	  2290	<	    44.000	 	     0.000	 549	  2 obs. 06-07/82;
 113	  2380	<	     4.000	 	     0.000	 504	  2 obs. 09/81;
 113	  4885	 	     0.890	 	     0.000	 535	  06/85; same data in (889);
 113	  5000	 	    14.000	<	     3.000	 220	  9 obs. 10-11/76; flare;
 113	  8400	<	    11.000	<	    29.000	 618	  4 obs. 12/84-06/86; part of data in (549);
 113	  8420	<	    17.000	 	     0.000	 549	  2 obs. 06-07/82;
 113	 10600	<	    25.000	 	     0.000	 203	  08/74;
 113	250000	 	    53.000	 	     0.000	 950	  12/87-01/88;
 114	  1465	<	     0.340	 	     0.000	1398	  03/93;
 114	  5000	<	     1.200	<	     3.700	 669	  2 obs. 08-09/86-07/87;
 114	250000	<	    17.000	 	     0.000	1398	  03/98;
 115	   325	<	   414.000	 	     0.000	 398	  10-11/78;
 115	  1415	<	    10.000	 	     0.000	  76	  /72;
 115	  5000	<	     1.200	<	     3.100	 669	  2 obs. 08-09/86-07/87;
 115	 31400	<	  1500.000	 	     0.000	 121	  01-02/73;
 115	 85300	<	  4500.000	 	     0.000	 121	  01-02/73;
 116	 10600	<	    25.000	 	     0.000	 203	  02/73;
 116	 10600	<	    27.000	 	     0.000	 351	  72-79;
 117	  1465	 	    57.000	 	     0.000	 556	  01/85;
 117	  4760	 	    67.000	 	    18.000	 548	  5 obs. 08/77-08/81;
 117	  4760	 	    73.000	<	     5.000	 556	  53 obs. 08/77-08/84;
 117	  4850	 	    48.000	 	     0.000	 825	  10/87;
 117	  4885	 	    40.500	 	     0.000	 556	  01/85;
 118	  4885	<	     0.150	 	     0.000	 731	  11/87;
 118	 10500	<	    15.000	 	     0.000	 210	  08/75;
 119	  8400	 	     2.000	<	     5.100	 617	  8 obs. 81-84;
 120	  1400	 	     2.170	 	     0.000	1327	  04/95;
 120	  4860	 	     3.230	 	     0.000	 622	  11/84-02/86;
 120	  4885	 	     2.720	 	     0.000	 535	  06/85; same data in (889);
 121	  1418	<	     0.800	 	     0.000	 554	  05/83;
 121	  4860	 	     2.910	 	     0.000	 622	  11/84-02/86;
 121	  4885	 	     2.350	 	     0.000	 738	  11/84; same data in (889);
 121	  8400	 	    11.900	 	     8.900	 617	  19 obs. 81-84; 2nd value: (617) only lists the median;
 122	  5000	<	    10.000	 	     0.000	 379	  3 obs. 07/81;
 122	  8400	<	     5.700	 	     0.000	 617	  12 obs. 81-84;
 123	  8440	<	     0.190	 	     0.000	1039	  06/93-02/94;
 124	  4800	<	     1.000	 	     0.000	 855	  04/90-05/91;
 124	  8400	 	     6.700	<	     4.000	 714	  16 obs. 02/87-07/88;
 125	 10600	<	    25.000	 	     0.000	 203	  05/73;
 126	  1490	<	     0.200	 	     0.000	 706	  10/87;
 126	  2380	 	    10.000	<	     3.000	 504	  6 obs. 01-04/80;
 126	  4860	<	     0.200	 	     0.000	 706	  10/87;
 126	250000	<	    10.000	 	     0.000	 950	  2 obs. 12/87-03/89;
 127	  2290	<	    44.000	 	     0.000	 549	  2 obs. 07/82-01/83; same data in (618);
 127	  5000	 	     6.000	<	     3.000	 220	  2 obs. 10-11/76;
 127	  8420	<	    12.000	<	    34.000	 549	  2 obs. 07/82-01/83; same data in (618);
 128	  4885	<	     0.050	 	     0.000	 642	  /86?; same data in (778);
 129	375000	<	    54.000	 	     0.000	1019	  11/90-04/91;
 130	  4885	<	     0.150	 	     0.000	 609	  08/85;
 130	  4885	<	     0.160	 	     0.000	 736	  10/86;
 130	  8440	<	     0.156	 	     0.000	1130	  01/91;
 131	  5000	<	     5.000	 	     0.000	 220	  10-11/76;
 132	230000	<	    13.000	 	     0.000	 821	  03/90;
 133	  4800	<	     0.400	 	     0.000	 981	  09/91;
 134	375000	<	    36.000	 	     0.000	 755	  08/88; same data in (966);
 135	  4885	<	     0.800	 	     0.000	 817	  ?;
 136	  4885	<	     0.710	 	     0.000	 458	  02/82; same data in (745);
 136	  4995	<	     1.210	 	     0.000	 798	  10/88;
 136	  8440	 	     0.580	 	     0.000	 956	  02/91;
 136	 10600	<	    18.000	 	     0.000	 351	  72-79;
 136	230000	<	   147.000	 	     0.000	1051	  10/92;
 137	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
 138	  1420	<	     5.000	 	     0.000	1189	  01/93;
 138	  1465	<	     7.600	 	     0.000	 463	  03/83;
 138	  4885	<	     1.000	 	     0.000	 463	  03/83;
 138	 10650	<	    70.000	 	     0.000	 463	  03/83;
 138	 14965	<	     3.000	 	     0.000	 463	  03/83;
 138	250000	<	    11.000	 	     0.000	 950	  03/89;
 139	 10500	<	    15.000	 	     0.000	 210	  08/75;
